timestamp,metric,dimension,value
2025-05-21T14:02:56.333116,followers_count,total,2190
2025-05-21T14:03:07.005334,followers_count,total,2190
2025-05-21T14:03:17.622341,followers_count,total,2190
2025-05-21T14:03:27.941651,followers_count,total,2190
2025-05-21T14:03:38.215943,followers_count,total,2190
2025-05-21T14:03:48.764827,followers_count,total,2190
2025-05-21T14:03:59.412069,followers_count,total,2190
2025-05-21T14:04:09.890473,followers_count,total,2190
2025-05-21T14:04:22.592558,followers_count,total,2190
2025-05-21T14:04:34.075060,followers_count,total,2190
2025-05-21T14:04:44.825971,followers_count,total,2190
2025-05-21T14:04:55.706751,followers_count,total,2190
2025-05-21T14:05:06.539867,followers_count,total,2190
2025-05-21T14:05:19.569651,followers_count,total,2190
